City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Batemans Bay,AU,75.99,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
93,Hualmay,PE,66.31,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
96,Airai,TL,76.32,broken clouds,-8.9266,125.4092,Juvinal Martin
97,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
98,Tatawin,TN,56.28,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
99,South Yuba City,US,57.88,clear sky,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
100,Rawson,AR,70.34,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
103,Esperance,AU,67.84,clear sky,-33.8667,121.9,Hospitality Esperance
104,Itaguai,BR,73.58,clear sky,-22.8522,-43.7753,It Grande Hotel Itaguai
106,Sur,OM,76.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
107,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
108,Sao Jose Da Coroa Grande,BR,78.17,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
109,Namatanai,PG,85.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
110,Dalby,AU,84.97,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
111,Kavieng,PG,84.94,light rain,-2.5744,150.7967,Nusa Island Retreat
112,Arraial Do Cabo,BR,71.65,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
113,Kandi,BJ,75.49,scattered clouds,11.1342,2.9386,Baric Motel De Kandi
114,Tandil,AR,63.3,broken clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
115,Bluff,NZ,57.92,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
116,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
119,Carutapera,BR,77.97,broken clouds,-1.195,-46.02,Lidera
120,Komsomolskiy,UZ,41.72,overcast clouds,40.4272,71.7189,Ikathouse
122,Castro,BR,64.33,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
124,Sistranda,NO,41.9,light rain,63.7256,8.834,Hotell Frøya
126,Canto Do Buriti,BR,75.02,overcast clouds,-8.11,-42.9444,Novo Hotel
127,Rayachoti,IN,75.22,overcast clouds,14.05,78.75,Swetha lodge
128,San Policarpo,PH,82.09,light rain,12.1791,125.5072,Agapita M. Nicart
129,Makokou,GA,68.11,light rain,0.5738,12.8642,Motel des voyageurs
131,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
138,Karoi,ZW,66.47,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
140,Tual,ID,82.81,light rain,-5.6667,132.75,Grand Vilia Hotel
141,Dudhani,IN,78.39,few clouds,17.3667,76.3667,Laxmi kirana store
142,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Faanui,PF,81.32,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
146,Port Elizabeth,ZA,56.1,light rain,-33.918,25.5701,39 On Nile Guest House
155,Lebu,CL,54.86,clear sky,-37.6167,-73.65,Hostal Las Lilas
156,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
157,Chuy,UY,53.15,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
158,Katsuura,JP,60.91,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
159,Camacha,PT,65.53,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
160,Nagato,JP,55.85,overcast clouds,34.3833,131.2,いそう庵
161,San Rafael,AR,76.78,few clouds,-34.6177,-68.3301,Hotel San Rafael
162,Flinders,AU,76.28,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
163,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
164,Guarapari,BR,71.49,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
166,Puerto Del Rosario,ES,64.15,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
169,Rio Grande,BR,60.44,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
170,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
171,Hobyo,SO,79.03,light rain,5.3505,48.5268,Halane Hotel and Restaurent
172,Isangel,VU,80.71,moderate rain,-19.55,169.2667,Tanna Lodge
173,Constitucion,CL,55.53,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
174,Cidreira,BR,64.31,clear sky,-30.1811,-50.2056,Hotel Castelo
180,Ninh Binh,VN,67.06,broken clouds,20.2539,105.975,Kinh Do Hotel
181,Sibolga,ID,84.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
184,Noumea,NC,82.38,light rain,-22.2763,166.4572,Hôtel Le Lagon
185,Treinta Y Tres,UY,50.11,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
186,Wanning,CN,73.09,broken clouds,18.8003,110.3967,Paradise Hotel
187,Warrnambool,AU,66.36,light rain,-38.3833,142.4833,Lady Bay Resort
188,Hasaki,JP,63.28,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
189,Cedar City,US,42.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
190,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
191,Salinopolis,BR,79.56,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
192,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
193,Meulaboh,ID,80.74,overcast clouds,4.1363,96.1285,Kost Pria
195,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
196,Karpathos,GR,66.16,overcast clouds,35.507,27.2132,Alex
197,Marsh Harbour,BS,70.34,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
198,Eureka,US,52.63,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
200,Khandbari,NP,61.65,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
203,Channel-Port Aux Basques,CA,50.31,moderate rain,47.5702,-59.1367,St. Christopher's Hotel
204,San Luis,AR,72.95,scattered clouds,-33.295,-66.3356,Huarpes Hotel
207,Warka,PL,42.98,overcast clouds,51.7843,21.1909,Hotel Sielanka nad Pilicą
208,Saint George,US,57.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
209,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
210,Sakakah,SA,51.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
211,Danshui,CN,68.94,clear sky,22.7984,114.4672,Grand Skylight International Hotel Huizhou
212,Sao Filipe,CV,78.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
213,Khuzdar,PK,61.02,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
214,Susaki,JP,57.27,scattered clouds,33.3667,133.2833,Awa
216,Sechura,PE,65.97,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
217,North Bend,US,45.86,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
218,Edewecht,DE,44.29,overcast clouds,53.1333,7.9833,Hotel Hubertus mit Neumanns Ponyhof
221,Marienburg,PL,42.89,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
223,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
226,Port Hardy,CA,41.0,broken clouds,50.6996,-127.4199,Airport Inn
228,Mariana,BR,65.44,broken clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
231,Lorengau,PG,80.73,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
232,Luau,AO,65.17,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
233,Faya,SA,52.32,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
234,Vao,NC,75.52,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
235,Pitanga,BR,66.81,overcast clouds,-24.7572,-51.7614,Hotel Santa Carmem
236,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
237,Santo Tomas,PH,86.58,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
238,Agbor,NG,73.06,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
239,Lahat,ID,76.96,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
240,Pacific Grove,US,59.27,clear sky,36.6177,-121.9166,Lovers Point Inn
241,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
242,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
246,Oussouye,SN,80.69,scattered clouds,12.485,-16.5469,Auberge du Routard
247,Dawlatabad,AF,52.7,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
248,Chadiza,ZM,69.73,scattered clouds,-14.0678,32.4392,Sankhani Guest House
249,Matamoros,MX,69.91,scattered clouds,25.5333,-103.25,Quinta Belem
251,Bambanglipuro,ID,82.31,overcast clouds,-7.95,110.2833,Puri Brata
252,Antofagasta,CL,60.08,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
254,Saint-Joseph,RE,79.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
256,Seafield,GB,48.36,broken clouds,55.9667,-3.15,"Holiday Inn Express Edinburgh - Leith Waterfront, an IHG Hotel"
258,Esmeraldas,BR,74.26,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
259,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
260,Brainerd,US,42.75,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
261,Sitamau,IN,70.54,clear sky,24.0167,75.35,Hotel Kisna
262,Port Lincoln,AU,69.39,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
263,Torbay,CA,44.28,light intensity drizzle,47.6666,-52.7314,Gallows Cove
264,Neuquen,AR,67.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
266,Arlit,NE,72.48,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
267,Kayalpattinam,IN,79.11,moderate rain,8.5667,78.1167,S செந்துரகனி
268,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
270,Samarai,PG,84.99,clear sky,-10.6167,150.6667,Nuli Sapi
271,Raudeberg,NO,47.19,overcast clouds,61.9875,5.1352,Nordre Silda.
272,Tezu,IN,72.14,broken clouds,27.9167,96.1667,Circuit House
273,Bastia,FR,56.3,broken clouds,42.6667,9.3333,Hotel Santa Maria
276,Baragaon,IN,58.98,mist,25.4333,82.8167,OYO 2952 Hotel K J International
277,Busembatia,UG,62.69,scattered clouds,0.7697,33.6131,ROMA GUEST HOUSE
278,Sambava,MG,75.42,scattered clouds,-14.2667,50.1667,Melrose
282,Koregaon,IN,79.14,scattered clouds,18.65,74.0833,hotel nisarg lounge
283,Lata,PT,45.81,broken clouds,40.1629,-8.3327,Casa Maquia
284,Linqu,CN,52.61,clear sky,36.5156,118.5397,Jiaohua Hotel
286,Requena,ES,42.13,light rain,39.4883,-1.1004,Hotel Avenida
290,Sampit,ID,77.02,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
292,Debre Birhan,ET,43.21,scattered clouds,9.6833,39.5333,Helen Hotel
298,Bubaque,GW,82.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Faratsiho,MG,62.11,scattered clouds,-19.4,46.95,LAVILLA FARATSIHO
302,Kushiro,JP,45.55,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
305,Maloy,NO,48.06,overcast clouds,61.9353,5.1136,Torget Hotell
306,Kaele,CM,76.05,clear sky,10.1092,14.4508,Hôtel Les Palmiers
307,Itoman,JP,70.57,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
310,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,El Medina
311,Atambua,ID,85.75,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
312,Candido De Abreu,BR,69.94,overcast clouds,-24.5669,-51.3333,Hotel Recanto
313,Soe,ID,83.61,overcast clouds,-9.8607,124.284,Dena Hotel
314,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
317,Cukai,MY,78.94,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
318,Victoria,HK,69.24,clear sky,22.2855,114.1577,Mini Hotel Central
320,Vanimo,PG,80.24,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
322,Buchanan,LR,77.61,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
324,Taltal,CL,60.1,scattered clouds,-25.4,-70.4833,Residencial Karime
326,Gat,IL,62.4,overcast clouds,31.61,34.7642,OlusHome
327,Gizo,SB,86.43,overcast clouds,-8.103,156.8419,Imagination Island
328,Poum,NC,78.89,overcast clouds,-20.2333,164.0167,Gîte kajeon
329,Acajutla,SV,78.48,few clouds,13.5928,-89.8275,asi es
330,Bandarbeyla,SO,81.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
332,Bengkulu,ID,78.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Tecoanapa,MX,79.57,clear sky,16.5167,-98.75,Hotel Manglares
335,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
339,Freetown,SL,78.51,thunderstorm,8.484,-13.2299,The Country Lodge Hotel
342,Kapoeta,SS,77.41,few clouds,4.7717,33.5903,Eastgate Hotel
343,Lujan,AR,73.15,clear sky,-34.5703,-59.105,Hotel Biarritz
344,Lakatoro,VU,79.3,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
345,San Giuseppe Jato,IT,55.96,broken clouds,37.9734,13.1881,B&B OASI
347,Gigmoto,PH,82.89,overcast clouds,13.7796,124.39,Cj's Travellers Inn
348,Bandar-E Anzali,IR,44.71,clear sky,37.4727,49.4622,هتل بیاچ
354,Catuday,PH,83.35,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
356,Muisne,EC,73.96,overcast clouds,0.6,-80.0333,Quinta Samay
357,Dioknisi,GE,44.29,light rain,41.6293,42.3917,Hotel
358,Virden,US,41.5,clear sky,39.5009,-89.7679,Virden Nail Spa
359,Vestmanna,FO,40.12,broken clouds,62.1564,-7.1664,Vestmanna Camping
360,Iskele,TR,53.69,light intensity shower rain,39.484,26.9278,Hotel Nova
362,Kitui,KE,63.45,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
364,Richards Bay,ZA,65.84,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
365,Xiongzhou,CN,59.94,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
367,Polis,CY,58.82,overcast clouds,35.0367,32.4264,Marion
368,Nguru,NG,74.82,clear sky,12.8791,10.4526,Government Lodge
369,Altea,ES,50.58,light rain,38.5989,-0.0514,Albir Playa Hotel & Spa
370,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
371,Jalu,LY,65.57,overcast clouds,29.0331,21.5482,صاحبة الفخامة
372,Dindori,IN,69.66,clear sky,22.95,81.0833,Konark Marriage Garden
