,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ponta Do Sol,PT,32.6667,-17.1,69.01,80,100,7.0,overcast clouds
80,Hilo,US,19.7297,-155.09,78.53,76,90,3.44,overcast clouds
81,Carnarvon,AU,-24.8667,113.6333,96.87,16,0,12.66,clear sky
82,New Norfolk,AU,-42.7826,147.0587,73.89,50,100,1.99,light rain
83,Dudinka,RU,69.4058,86.1778,14.47,83,100,14.85,overcast clouds
84,Luderitz,NA,-26.6481,15.1594,61.2,72,74,16.6,broken clouds
85,Qasigiannguit,GL,68.8193,-51.1922,26.85,74,100,28.9,light snow
86,Neyshabur,IR,36.2133,58.7958,46.69,69,0,1.21,clear sky
87,Perdoes,BR,-21.0908,-45.0914,66.58,65,64,3.62,broken clouds
88,Kropotkin,RU,45.4375,40.5756,38.3,96,100,5.5,overcast clouds
89,Kaitangata,NZ,-46.2817,169.8464,62.85,52,100,3.89,light rain
90,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,6.91,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,20,3.44,few clouds
92,Batemans Bay,AU,-35.7167,150.1833,75.99,65,100,10.16,light rain
93,Hualmay,PE,-11.0964,-77.6139,66.31,83,100,7.45,overcast clouds
94,Siilinjarvi,FI,63.0833,27.6667,32.02,93,90,10.36,snow
95,Egvekinot,RU,66.3167,-179.1667,-4.9,66,17,6.4,few clouds
96,Airai,TL,-8.9266,125.4092,76.32,55,51,1.99,broken clouds
97,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,90,100,18.81,overcast clouds
98,Tatawin,TN,32.9297,10.4518,56.28,70,100,0.92,overcast clouds
99,South Yuba City,US,39.1166,-121.6391,57.88,59,1,12.66,clear sky
100,Rawson,AR,-43.3002,-65.1023,70.34,43,46,25.48,scattered clouds
101,Lodja,CD,-3.4833,23.4333,68.47,99,97,2.17,light rain
102,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,4.0,broken clouds
103,Esperance,AU,-33.8667,121.9,67.84,56,1,9.64,clear sky
104,Itaguai,BR,-22.8522,-43.7753,73.58,94,0,2.3,clear sky
105,Lavrentiya,RU,65.5833,-171.0,0.66,88,2,7.9,clear sky
106,Sur,OM,22.5667,59.5289,76.57,29,7,2.68,clear sky
107,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,16.11,scattered clouds
108,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,80,17,9.66,few clouds
109,Namatanai,PG,-3.6667,152.4333,85.66,68,53,11.5,light rain
110,Dalby,AU,-27.1833,151.2667,84.97,46,100,3.0,overcast clouds
111,Kavieng,PG,-2.5744,150.7967,84.94,72,99,15.68,light rain
112,Arraial Do Cabo,BR,-22.9661,-42.0278,71.65,89,50,8.16,scattered clouds
113,Kandi,BJ,11.1342,2.9386,75.49,24,40,4.07,scattered clouds
114,Tandil,AR,-37.3217,-59.1332,63.3,45,75,1.01,broken clouds
115,Bluff,NZ,-46.6,168.3333,57.92,70,100,13.51,overcast clouds
116,Quatre Cocos,MU,-20.2078,57.7625,78.1,73,20,9.31,few clouds
117,Tilichiki,RU,60.4667,166.1,2.28,91,95,8.86,overcast clouds
118,Hay River,CA,60.8156,-115.7999,-13.02,77,40,3.44,scattered clouds
119,Carutapera,BR,-1.195,-46.02,77.97,88,80,6.02,broken clouds
120,Komsomolskiy,UZ,40.4272,71.7189,41.72,48,100,2.3,overcast clouds
121,Derzhavinsk,KZ,51.1,66.3167,22.06,94,100,5.84,overcast clouds
122,Castro,BR,-24.7911,-50.0119,64.33,74,100,7.7,overcast clouds
123,Mazyr,BY,52.0495,29.2456,31.75,83,100,5.82,overcast clouds
124,Sistranda,NO,63.7256,8.834,41.9,96,100,3.83,light rain
125,Charters Towers,AU,-20.1,146.2667,97.2,28,81,17.0,broken clouds
126,Canto Do Buriti,BR,-8.11,-42.9444,75.02,78,89,4.0,overcast clouds
127,Rayachoti,IN,14.05,78.75,75.22,84,98,3.47,overcast clouds
128,San Policarpo,PH,12.1791,125.5072,82.09,84,100,12.86,light rain
129,Makokou,GA,0.5738,12.8642,68.11,99,62,1.21,light rain
130,Tasiilaq,GL,65.6145,-37.6368,24.96,64,100,3.6,overcast clouds
131,Padang,ID,-0.9492,100.3543,87.85,57,100,2.17,overcast clouds
132,Fairbanks,US,64.8378,-147.7164,-7.64,67,1,0.0,clear sky
133,Severo-Kurilsk,RU,50.6789,156.125,37.38,97,100,30.6,moderate rain
134,Qaanaaq,GL,77.484,-69.3632,-6.45,69,34,8.08,scattered clouds
135,Chokurdakh,RU,70.6333,147.9167,-22.23,98,100,4.18,overcast clouds
136,Provost,CA,52.3501,-110.2683,8.02,91,100,9.78,overcast clouds
137,Grindavik,IS,63.8424,-22.4338,34.27,69,75,33.38,broken clouds
138,Karoi,ZW,-16.8099,29.6925,66.47,75,67,3.15,broken clouds
139,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,81,75,11.18,light intensity shower rain
140,Tual,ID,-5.6667,132.75,82.81,74,100,3.02,light rain
141,Dudhani,IN,17.3667,76.3667,78.39,74,13,12.5,few clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,75.61,77,20,5.01,few clouds
143,Yablonovo,RU,50.8523,37.3574,21.06,74,11,3.38,few clouds
144,Faanui,PF,-16.4833,-151.75,81.32,69,53,3.44,broken clouds
145,Georgetown,MY,5.4112,100.3354,85.95,78,20,1.01,few clouds
146,Port Elizabeth,ZA,-33.918,25.5701,56.1,94,75,6.91,light rain
147,Kodiak,US,57.79,-152.4072,11.71,62,1,10.36,light snow
148,Jamestown,US,42.097,-79.2353,31.59,81,1,5.99,clear sky
149,Marquette,US,46.5333,-87.6335,34.36,53,100,17.07,overcast clouds
150,Leningradskiy,RU,69.3833,178.4167,-16.26,80,69,2.48,broken clouds
151,Hudson Bay,CA,52.85,-102.3842,13.91,86,82,9.66,broken clouds
152,Shaunavon,CA,49.6501,-108.4181,22.78,87,100,21.12,overcast clouds
153,Vershino-Darasunskiy,RU,52.35,115.5167,1.76,57,2,3.53,clear sky
154,Jinzhou,CN,41.1078,121.1417,35.33,43,3,0.96,clear sky
155,Lebu,CL,-37.6167,-73.65,54.86,91,3,13.49,clear sky
156,Tautira,PF,-17.7333,-149.15,84.22,72,51,6.06,broken clouds
157,Chuy,UY,-33.6971,-53.4616,53.15,77,0,4.99,light rain
158,Katsuura,JP,35.1333,140.3,60.91,59,3,23.91,clear sky
159,Camacha,PT,33.0833,-16.3333,65.53,68,75,17.27,broken clouds
160,Nagato,JP,34.3833,131.2,55.85,55,96,22.5,overcast clouds
161,San Rafael,AR,-34.6177,-68.3301,76.78,46,22,20.58,few clouds
162,Flinders,AU,-34.5833,150.8552,76.28,83,100,8.46,light rain
163,Kloulklubed,PW,7.0419,134.2556,86.5,76,70,15.68,broken clouds
164,Guarapari,BR,-20.6667,-40.4975,71.49,93,33,6.6,scattered clouds
165,Norman Wells,CA,65.282,-126.8329,-14.98,98,99,2.19,overcast clouds
166,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,82,100,1.14,overcast clouds
167,Mangai,CD,-4.05,19.5333,68.95,99,99,0.65,overcast clouds
168,Saskylakh,RU,71.9167,114.0833,-18.29,90,49,12.03,scattered clouds
169,Rio Grande,BR,-32.035,-52.0986,60.44,69,0,6.78,clear sky
170,Porto Novo,BJ,6.4965,2.6036,82.22,86,10,5.86,clear sky
171,Hobyo,SO,5.3505,48.5268,79.03,78,89,4.03,light rain
172,Isangel,VU,-19.55,169.2667,80.71,83,90,5.75,moderate rain
173,Constitucion,CL,-35.3333,-72.4167,55.53,88,65,10.36,broken clouds
174,Cidreira,BR,-30.1811,-50.2056,64.31,68,0,7.7,clear sky
175,Mednogorskiy,RU,43.9178,41.1825,38.03,98,100,2.84,overcast clouds
176,Luhyny,UA,51.082,28.4006,33.19,96,100,6.35,overcast clouds
177,Clyde River,CA,70.4692,-68.5914,17.83,86,100,25.32,snow
178,Burns Lake,CA,54.2331,-125.7533,24.22,97,98,3.02,overcast clouds
179,Kapuskasing,CA,49.4169,-82.4331,24.8,86,75,12.66,broken clouds
180,Ninh Binh,VN,20.2539,105.975,67.06,46,51,9.44,broken clouds
181,Sibolga,ID,1.7427,98.7792,84.4,64,100,2.01,overcast clouds
182,Zhezkazgan,KZ,47.8043,67.7144,35.87,97,100,10.83,overcast clouds
183,Provideniya,RU,64.3833,-173.3,8.71,52,0,6.71,clear sky
184,Noumea,NC,-22.2763,166.4572,82.38,99,100,11.41,light rain
185,Treinta Y Tres,UY,-33.2333,-54.3833,50.11,87,0,5.95,clear sky
186,Wanning,CN,18.8003,110.3967,73.09,69,61,14.74,broken clouds
187,Warrnambool,AU,-38.3833,142.4833,66.36,74,68,10.42,light rain
188,Hasaki,JP,35.7333,140.8333,63.28,36,0,13.67,clear sky
189,Cedar City,US,37.6775,-113.0619,42.4,33,1,8.05,clear sky
190,Avarua,CK,-21.2078,-159.775,77.05,65,94,12.66,overcast clouds
191,Salinopolis,BR,-0.6136,-47.3561,79.56,85,91,9.64,overcast clouds
192,Hirara,JP,24.8,125.2833,70.07,60,75,11.5,broken clouds
193,Meulaboh,ID,4.1363,96.1285,80.74,81,100,5.03,overcast clouds
194,Sorland,NO,67.667,12.6934,35.13,68,100,27.02,light snow
195,Vila Velha,BR,-20.3297,-40.2925,71.55,93,0,1.01,clear sky
196,Karpathos,GR,35.507,27.2132,66.16,72,92,12.66,overcast clouds
197,Marsh Harbour,BS,26.5412,-77.0636,70.34,67,100,23.76,overcast clouds
198,Eureka,US,40.8021,-124.1637,52.63,74,30,8.01,scattered clouds
199,Leninskoye,KZ,41.7589,69.3864,44.53,54,97,3.42,overcast clouds
200,Khandbari,NP,27.3747,87.2039,61.65,65,29,1.57,scattered clouds
201,Nikolskoye,RU,59.7035,30.7861,31.87,87,100,13.35,snow
202,Koslan,RU,63.4564,48.8989,2.91,100,97,3.98,overcast clouds
203,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.31,94,100,46.15,moderate rain
204,San Luis,AR,-33.295,-66.3356,72.95,46,27,19.46,scattered clouds
205,Kaduy,RU,59.2,37.15,19.38,86,98,7.7,overcast clouds
206,Hearst,CA,49.6835,-83.6665,28.65,83,98,12.53,overcast clouds
207,Warka,PL,51.7843,21.1909,42.98,87,88,8.01,overcast clouds
208,Saint George,US,37.1041,-113.5841,57.34,35,1,1.01,clear sky
209,Mount Isa,AU,-20.7333,139.5,83.97,42,75,5.75,broken clouds
210,Sakakah,SA,29.9697,40.2064,51.37,60,4,5.68,clear sky
211,Danshui,CN,22.7984,114.4672,68.94,35,0,6.2,clear sky
212,Sao Filipe,CV,14.8961,-24.4956,78.8,73,100,2.08,overcast clouds
213,Khuzdar,PK,27.7384,66.6434,61.02,30,0,4.07,clear sky
214,Susaki,JP,33.3667,133.2833,57.27,65,49,7.76,scattered clouds
215,Husavik,IS,66.0449,-17.3389,31.91,83,100,35.66,snow
216,Sechura,PE,-5.5569,-80.8222,65.97,82,40,11.59,scattered clouds
217,North Bend,US,43.4065,-124.2243,45.86,99,75,5.75,broken clouds
218,Edewecht,DE,53.1333,7.9833,44.29,98,100,6.58,overcast clouds
219,Homer,US,59.6425,-151.5483,17.49,69,90,6.91,overcast clouds
220,Zeya,RU,53.75,127.2667,21.11,47,100,8.34,overcast clouds
221,Marienburg,PL,54.0359,19.0266,42.89,84,100,12.55,overcast clouds
222,College,US,64.8569,-147.8028,-0.74,67,20,5.75,few clouds
223,Saldanha,ZA,-33.0117,17.9442,60.85,77,98,14.29,overcast clouds
224,Sudzha,RU,51.1976,35.2726,22.62,70,0,0.63,clear sky
225,Huron,US,41.1501,-82.5499,30.76,79,10,7.61,clear sky
226,Port Hardy,CA,50.6996,-127.4199,41.0,100,75,3.44,broken clouds
227,Cherskiy,RU,68.75,161.3,-33.36,100,37,4.54,scattered clouds
228,Mariana,BR,-20.3778,-43.4161,65.44,84,80,2.46,broken clouds
229,Haines Junction,CA,60.7522,-137.5108,-9.45,84,100,1.14,overcast clouds
230,Kamenka,RU,51.3223,42.7678,15.75,75,51,4.74,broken clouds
231,Lorengau,PG,-2.0226,147.2712,80.73,84,100,15.3,moderate rain
232,Luau,AO,-10.7073,22.2247,65.17,97,100,1.88,light rain
233,Faya,SA,18.3851,42.4509,52.32,33,69,6.73,broken clouds
234,Vao,NC,-22.6667,167.4833,75.52,73,100,8.14,overcast clouds
235,Pitanga,BR,-24.7572,-51.7614,66.81,65,98,3.87,overcast clouds
236,Neiafu,TO,-18.65,-173.9833,83.08,74,75,3.44,broken clouds
237,Santo Tomas,PH,14.1079,121.1414,86.58,63,83,11.07,broken clouds
238,Agbor,NG,6.2518,6.1934,73.06,98,98,2.59,overcast clouds
239,Lahat,ID,-3.8,103.5333,76.96,87,100,1.1,overcast clouds
240,Pacific Grove,US,36.6177,-121.9166,59.27,87,1,3.0,clear sky
241,Hambantota,LK,6.1241,81.1185,77.34,100,20,5.75,few clouds
242,San Cristobal,VE,7.7669,-72.225,68.18,94,70,1.41,broken clouds
243,Uhlove,UA,44.8215,33.6045,35.56,68,16,10.96,few clouds
244,Sukhodol,RU,53.9006,51.2117,-3.26,100,92,3.29,overcast clouds
245,Bereznik,RU,62.8551,42.7072,12.06,96,93,3.91,overcast clouds
246,Oussouye,SN,12.485,-16.5469,80.69,88,29,6.06,scattered clouds
247,Dawlatabad,AF,36.4141,64.9053,52.7,64,43,2.89,scattered clouds
248,Chadiza,ZM,-14.0678,32.4392,69.73,70,42,1.48,scattered clouds
249,Matamoros,MX,25.5333,-103.25,69.91,40,40,3.44,scattered clouds
250,Batagay-Alyta,RU,67.8006,130.4114,-26.43,90,7,4.61,clear sky
251,Bambanglipuro,ID,-7.95,110.2833,82.31,77,95,6.44,overcast clouds
252,Antofagasta,CL,-23.65,-70.4,60.08,73,58,1.74,broken clouds
253,Olga,RU,43.7444,135.2892,28.0,40,98,10.31,overcast clouds
254,Saint-Joseph,RE,-21.3667,55.6167,79.21,64,20,3.67,few clouds
255,Chapais,CA,49.7834,-74.8492,11.98,99,69,2.35,broken clouds
256,Seafield,GB,55.9667,-3.15,48.36,81,75,8.01,broken clouds
257,Broome,US,42.2506,-75.833,27.66,80,1,4.61,clear sky
258,Esmeraldas,BR,-19.7625,-44.3139,74.26,72,66,3.18,broken clouds
259,Oranjestad,AW,12.524,-70.027,80.55,78,20,10.36,few clouds
260,Brainerd,US,46.358,-94.2008,42.75,52,1,4.61,clear sky
261,Sitamau,IN,24.0167,75.35,70.54,53,7,3.89,clear sky
262,Port Lincoln,AU,-34.7333,135.8667,69.39,70,66,11.68,moderate rain
263,Torbay,CA,47.6666,-52.7314,44.28,97,90,33.38,light intensity drizzle
264,Neuquen,AR,-38.9516,-68.0591,67.89,60,0,3.44,clear sky
265,Gravdal,NO,68.1214,13.5031,32.07,70,93,23.33,overcast clouds
266,Arlit,NE,18.7369,7.3853,72.48,18,99,2.1,overcast clouds
267,Kayalpattinam,IN,8.5667,78.1167,79.11,94,90,2.3,moderate rain
268,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,23,0,17.27,clear sky
269,Kerchevskiy,RU,59.946,56.2884,16.92,96,100,5.5,overcast clouds
270,Samarai,PG,-10.6167,150.6667,84.99,72,9,12.39,clear sky
271,Raudeberg,NO,61.9875,5.1352,47.19,95,100,11.01,overcast clouds
272,Tezu,IN,27.9167,96.1667,72.14,53,73,2.35,broken clouds
273,Bastia,FR,42.6667,9.3333,56.3,80,75,1.99,broken clouds
274,Sioux Lookout,CA,50.1001,-91.917,28.78,93,75,0.0,broken clouds
275,Qaqortoq,GL,60.7167,-46.0333,28.9,75,100,10.74,overcast clouds
276,Baragaon,IN,25.4333,82.8167,58.98,77,3,0.0,mist
277,Busembatia,UG,0.7697,33.6131,62.69,89,43,2.55,scattered clouds
278,Sambava,MG,-14.2667,50.1667,75.42,75,41,3.11,scattered clouds
279,La Ronge,CA,55.1001,-105.2842,1.65,71,75,6.91,broken clouds
280,Olafsvik,IS,64.8945,-23.7142,33.1,66,49,17.27,scattered clouds
281,Altay,CN,47.8667,88.1167,31.86,91,100,3.44,light snow
282,Koregaon,IN,18.65,74.0833,79.14,69,39,4.68,scattered clouds
283,Lata,PT,40.1629,-8.3327,45.81,89,77,2.91,broken clouds
284,Linqu,CN,36.5156,118.5397,52.61,26,0,5.75,clear sky
285,Suoyarvi,RU,62.0833,32.35,30.4,96,100,13.09,snow
286,Requena,ES,39.4883,-1.1004,42.13,66,100,3.8,light rain
287,Chifeng,CN,42.2683,118.9636,30.29,38,31,9.15,scattered clouds
288,Chernyshevskiy,RU,63.0128,112.4714,-8.0,87,100,3.74,overcast clouds
289,Deputatskiy,RU,69.3,139.9,-23.75,95,100,4.05,overcast clouds
290,Sampit,ID,-2.5333,112.95,77.02,93,100,3.2,overcast clouds
291,Sitka,US,57.0531,-135.33,35.49,80,90,9.22,light rain
292,Debre Birhan,ET,9.6833,39.5333,43.21,86,29,3.36,scattered clouds
293,Umm Kaddadah,SD,13.6017,26.6876,65.28,22,1,12.77,clear sky
294,Skibbereen,IE,51.55,-9.2667,33.6,68,6,3.62,clear sky
295,Tyrma,RU,50.0833,132.1667,28.18,78,22,6.13,few clouds
296,Yerbogachen,RU,61.2767,108.0108,7.88,96,91,6.15,overcast clouds
297,Ostrovnoy,RU,68.0531,39.5131,29.73,69,100,18.48,light snow
298,Bubaque,GW,11.2833,-15.8333,82.08,79,100,7.74,overcast clouds
299,Faratsiho,MG,-19.4,46.95,62.11,85,34,0.83,scattered clouds
300,Kodinsk,RU,58.6881,99.1844,28.22,92,100,8.63,overcast clouds
301,Tiksi,RU,71.6872,128.8694,-20.58,98,43,7.2,scattered clouds
302,Kushiro,JP,42.975,144.3747,45.55,42,40,14.97,scattered clouds
303,Baruun-Urt,MN,46.6806,113.2792,12.13,74,25,3.29,scattered clouds
304,Saqqez,IR,36.2499,46.2735,36.66,84,6,4.16,clear sky
305,Maloy,NO,61.9353,5.1136,48.06,95,100,11.01,overcast clouds
306,Kaele,CM,10.1092,14.4508,76.05,26,4,7.63,clear sky
307,Itoman,JP,26.1247,127.6694,70.57,52,40,11.5,scattered clouds
308,Vidalia,US,32.2177,-82.4135,37.18,87,1,0.0,clear sky
309,Thompson,CA,55.7435,-97.8558,-7.44,71,20,9.22,few clouds
310,Nouadhibou,MR,20.931,-17.0347,73.38,68,100,13.8,overcast clouds
311,Atambua,ID,-9.1061,124.8925,85.75,60,21,3.47,few clouds
312,Candido De Abreu,BR,-24.5669,-51.3333,69.94,63,97,2.59,overcast clouds
313,Soe,ID,-9.8607,124.284,83.61,51,99,5.97,overcast clouds
314,Salalah,OM,17.0151,54.0924,80.69,29,0,11.5,clear sky
315,Little Current,CA,45.9793,-81.9248,37.45,68,61,12.88,broken clouds
316,Popondetta,PG,-8.7537,148.2534,90.3,55,34,7.45,scattered clouds
317,Cukai,MY,4.25,103.4167,78.94,69,100,2.93,overcast clouds
318,Victoria,HK,22.2855,114.1577,69.24,65,0,1.01,clear sky
319,Mehamn,NO,71.0357,27.8492,22.19,76,100,3.09,overcast clouds
320,Vanimo,PG,-2.6741,141.3028,80.24,81,97,5.03,overcast clouds
321,Ilulissat,GL,69.2167,-51.1,26.62,93,90,3.44,snow
322,Buchanan,LR,5.8808,-10.0467,77.61,88,15,4.56,light rain
323,Goderich,CA,43.7501,-81.7165,30.52,69,10,9.22,clear sky
324,Taltal,CL,-25.4,-70.4833,60.1,82,42,1.77,scattered clouds
325,Novosheshminsk,RU,55.0651,51.2338,6.04,97,55,5.99,broken clouds
326,Gat,IL,31.61,34.7642,62.4,66,100,2.8,overcast clouds
327,Gizo,SB,-8.103,156.8419,86.43,65,97,3.22,overcast clouds
328,Poum,NC,-20.2333,164.0167,78.89,78,100,5.77,overcast clouds
329,Acajutla,SV,13.5928,-89.8275,78.48,65,13,6.13,few clouds
330,Bandarbeyla,SO,9.4942,50.8122,81.23,53,92,15.01,overcast clouds
331,Klyuchi,RU,52.2667,79.1667,22.1,87,24,11.21,few clouds
332,Bengkulu,ID,-3.8004,102.2655,78.73,74,100,1.74,overcast clouds
333,Tecoanapa,MX,16.5167,-98.75,79.57,78,0,3.31,clear sky
334,Hofn,IS,64.2539,-15.2082,37.17,60,31,19.69,scattered clouds
335,Cap Malheureux,MU,-19.9842,57.6142,78.48,73,17,8.01,few clouds
336,Vestmannaeyjar,IS,63.4427,-20.2734,37.8,70,6,42.46,clear sky
337,Raga,SS,8.4596,25.678,67.44,30,20,4.03,few clouds
338,Kidal,ML,18.4411,1.4078,75.09,31,68,11.25,broken clouds
339,Freetown,SL,8.484,-13.2299,78.51,78,75,5.75,thunderstorm
340,Mount Pleasant,US,32.7941,-79.8626,35.58,84,1,0.0,clear sky
341,Geraldton,AU,-28.7667,114.6,91.81,14,0,12.66,clear sky
342,Kapoeta,SS,4.7717,33.5903,77.41,43,21,2.82,few clouds
343,Lujan,AR,-34.5703,-59.105,73.15,80,0,8.84,clear sky
344,Lakatoro,VU,-16.0999,167.4164,79.3,71,100,1.3,overcast clouds
345,San Giuseppe Jato,IT,37.9734,13.1881,55.96,87,81,5.57,broken clouds
346,Ndele,CF,8.4109,20.6473,69.48,35,2,4.14,clear sky
347,Gigmoto,PH,13.7796,124.39,82.89,81,99,13.04,overcast clouds
